config_id,power_mw,energy_mwh,Duration,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,updated_2021_idm_weight,updated_2021_dc_weight,updated_2021_expected_return,updated_2021_portfolio_risk,updated_2022_idm_weight,updated_2022_dc_weight,updated_2022_expected_return,updated_2022_portfolio_risk,updated_2023_idm_weight,updated_2023_dc_weight,updated_2023_expected_return,updated_2023_portfolio_risk
1,10,10,1,0.2039875929239367,1.0297752234267321e-15,0.7960124070760622,726.2726510938808,389.261324722966,0.8324407116927608,0.16755928830723918,707.2740998419711,1197.6175250199185,0.8319821909291928,0.16801780907080716,867.9103130945864,715.7271557659901,0.13358678898959947,0.8664132110104006,615.1528095790338,350.4016608010399
2,30,30,1,0.20399241973061766,0.0,0.796007580269383,2178.8106180816594,1167.7852540279855,0.8324407034586161,0.16755929654138393,2121.8080461274617,3592.8305245243223,0.8319791280877444,0.16802087191225556,2603.71097408405,2147.1659630351155,0.13358592035825953,0.8664140796417404,1845.4415987275268,1051.1993763953928
3,50,50,1,0.2039954024546437,0.0,0.7960045975453567,3631.3474929497665,1946.3109700897628,0.8324398652247841,0.16756013477521592,3536.333853028973,5988.026095187949,0.8319781624422125,0.16802183755778757,4339.501633894439,3578.595141290887,0.13358759323291816,0.8664124067670819,3075.7264766275966,1751.991842216849
4,100,100,1,0.20399549832386987,3.5063098258181213e-16,0.7960045016761298,7262.694816746271,3892.621824410988,0.8324403625653687,0.16755963743463137,7072.665707824032,11976.05436348039,0.8319787647332941,0.16802123526670587,8679.002246215623,7157.191701760359,0.13358664458095693,0.8664133554190431,6151.446909531135,3503.9843379480662
5,10,15,1.5,0.0,0.28467018207056166,0.7153298179294386,764.7789177266906,528.1827661534984,0.8306686553176104,0.16933134468238964,1191.6159104299682,2083.5664648054053,0.8312655418789423,0.1687344581210577,1495.7480277766333,1292.3602054191565,0.8675246095531879,0.1324753904468122,857.479712357791,621.8141377812244
6,50,75,1.5,1.9129472557253161e-16,0.2846675658243031,0.7153324341756968,3823.894513446822,2640.9148932091757,0.8306706251762401,0.16932937482375993,5958.083575879193,10417.843525424996,0.8312639786287825,0.16873602137121751,7478.733604370882,6461.795052578991,0.8675226796849264,0.13247732031507367,4287.399009732187,3109.070829431933
7,100,150,1.5,0.0,0.28466748059581143,0.7153325194041888,7647.789290293098,5281.829650852969,0.8306706316935946,0.16932936830640538,11916.166933142398,20835.68714727559,0.8312639737232091,0.16873602627679085,14957.467304918175,12923.59036486076,0.8675227159143102,0.13247728408568976,8574.798223019292,6218.142143467255
8,10,20,2,0.7557175970134471,0.24428240298655296,1.5612511283791264e-17,855.0989050379939,642.2696604027193,0.8296542766057031,0.17034572339429682,361.1492929057087,644.9548817990902,0.830758911642912,0.16924108835708795,460.59633902988844,410.5571773412392,0.867895348288875,0.13210465171112493,262.3971917468713,195.44196697702918
9,30,60,2,0.755722788587795,0.24427721141220507,2.6020852139652106e-17,2565.296600408116,1926.806444538722,0.8296508517411482,0.17034914825885183,1083.422705486043,1934.8200086533539,0.8307592197526539,0.16924078024734607,1381.7595626701516,1231.64530707637,0.867870488539018,0.13212951146098198,787.169042375924,586.309831679856
10,50,100,2,0.7557217692800252,0.24427823071997484,0.0,4275.494898265036,3211.3452490353616,0.8296514395497224,0.17034856045027758,1805.7136929218468,3224.714740452418,0.8307567565209807,0.1692432434790193,2302.939717920108,2052.748626074305,0.8678713446466422,0.13212865535335783,1311.9550150555879,977.1873291043935
11,100,200,2,0.755721982281677,0.24427801771832303,0.0,8550.989445307638,6422.690063512764,0.8296499659839783,0.17035003401602167,3611.4203318971167,6449.417435593881,0.8307563212614876,0.16924367873851237,4605.8727168150845,4105.492164934634,0.8678738421000853,0.1321261578999146,2623.9091113085096,1954.373899254444
12,200,400,2,0.7557220087664404,0.2442779912335597,1.734723475976807e-18,17101.97904616222,12845.379752975117,0.829649145003064,0.170350854996936,7222.83747498858,12898.827941071635,0.8307565445967398,0.1692434554032602,9211.747337765157,8210.985050411038,0.8678732327283233,0.1321267672716768,5247.817539843253,3908.747535070316
13,300,600,2,0.7557218740487897,0.24427812595121023,8.673617379884035e-18,25652.968511138097,19268.070437839895,0.829649462383761,0.17035053761623897,10834.264520546427,19348.25557493122,0.8307563571255221,0.16924364287447785,13817.627261592792,12316.483064860276,0.8678728317905262,0.13212716820947373,7871.7303275743725,5863.123402379742
14,400,800,2,0.7557219268030207,0.24427807319697925,3.469446951953614e-17,34203.95800471139,25690.759727182965,0.8296493717034998,0.17035062829650016,14445.681755436783,25797.667634677044,0.8307560539116555,0.16924394608834448,18423.494510065153,16421.97158464941,0.8678730475647567,0.1321269524352433,10495.638053086243,7817.497142751377
15,5,15,3,0.9999999999999999,1.1102230246251565e-16,2.7755575615628914e-17,594.1501912568306,440.7503568603956,,,,,,,,,,,,
16,10,30,3,1.0,5.551115123125783e-17,1.3877787807814457e-17,1188.3009289617482,881.5005042668417,,,,,,,,,,,,
17,15,60,4,0.9903030753867084,2.0816681711721685e-17,0.009696924613291635,2181.049320217916,1677.5629359983286,0.8276629992820783,0.17233700071792168,33.368714797183834,61.3525450719095,0.8280623913174111,0.1719376086825889,44.7733288480931,41.935794774175555,0.8639192445134185,0.1360807554865815,25.37254396758255,20.83987149264629
