config_id,power_mw,energy_mwh,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,updated_2024_idm_weight,updated_2024_dc_weight,updated_2024_expected_return,updated_2024_portfolio_risk,updated_2023_idm_weight,updated_2023_dc_weight,updated_2023_expected_return,updated_2023_portfolio_risk,updated_2021_idm_weight,updated_2021_dc_weight,updated_2021_expected_return,updated_2021_portfolio_risk
1,10,10,0.5727812407930226,0.0,0.4272187592069773,2443.2668117657895,2405.6639398000984,0.13802142538421094,0.8619785746157891,1535.7572127911176,1258.7246395804568,0.13906114891449184,0.8609388510855083,1537.5141513656454,1258.070119504352,0.09522453248418682,0.9047754675158132,1626.3493244608294,1307.3328777671652
2,30,30,0.5727812110389033,0.0,0.4272187889610968,7329.803372152503,7216.994976686947,0.13802086111758588,0.8619791388824141,4607.279596155906,3776.181117907626,0.13906243754346037,0.8609375624565396,4612.541562437111,3774.2138299664193,0.09522583987837883,0.9047741601216212,4879.048034662133,3922.003824868807
3,50,50,0.5727812169798857,0.0,0.4272187830201143,12216.337044072636,12028.32555368436,0.13802068186132269,0.8619793181386773,7678.8024496004255,6293.640170551596,0.13906243948472266,0.8609375605152774,7687.570943174438,6290.360729959531,0.09522604495905444,0.9047739550409455,8131.747116150718,6536.677239027827
4,100,100,0.5727812170030485,0.0,0.4272187829969516,24432.673977620885,24056.651119920924,0.13802086111758607,0.8619791388824138,15357.60512581341,12587.275773843447,0.1390622302022139,0.8609377697977861,15375.148288430672,12580.719513677706,0.09522640140830568,0.9047735985916943,16263.492517612585,13073.350070339131
5,10,15,0.5844156010511973,4.336808689942018e-18,0.4155843989488027,2714.566147654379,2556.2765089088475,0.13958582226602487,0.8604141777339751,1500.668273338425,1226.5017834234582,0.13995159995199596,0.860048400048004,1505.0434500038668,1226.3651511262005,0.09495553025626144,0.9050444697437385,1596.629490263559,1282.0269220377502
6,50,75,0.5844156136461645,0.0,0.4155843863538356,13572.833044250508,12781.388123176905,0.13958648425255782,0.8604135157474422,7503.328711129128,6132.507481443354,0.13995300236785466,0.8600469976321453,7525.199257484681,6131.82195391469,0.09495665359267715,0.9050433464073229,7983.132436282613,6410.134495513103
7,100,150,0.5844156188056724,1.1709383462843448e-17,0.4155843811943276,27145.66615702257,25562.776193792055,0.13958625391249002,0.86041374608751,15006.65854650778,12265.011759573528,0.13995325466882527,0.8600467453311748,15050.3925169621,12263.63765586213,0.09495685894621209,0.9050431410537879,15966.259943218338,12820.263943572949
8,10,20,0.4985944063367597,0.012009124526782405,0.4893964691364579,3147.930304647093,2785.5158741381492,0.1405618611343878,0.8594381388656123,1819.6390402204215,1482.7521792490534,0.14029179770317912,0.8597082022968209,1827.912552610279,1483.1166146066334,0.0949514756811535,0.9050485243188465,1942.6818621098287,1558.5337570309578
9,30,60,0.4985949387296566,0.012009048082088306,0.48939601318825526,9443.791814490114,8356.549917882847,0.14056140256761032,0.8594385974323897,5458.917489365485,4448.248082572064,0.14029180734348437,0.8597081926565157,5483.7354713655,4449.340347443818,0.09495193069044833,0.9050480693095517,5828.041576756204,4675.591424678105
10,50,100,0.49859526406704574,0.012008794048255686,0.48939594188469865,15739.65055343891,13927.583424666056,0.14056132363554127,0.8594386763644588,9098.196221700717,7413.750676260339,0.1402917697462907,0.8597082302537093,9139.559119548114,7415.571006474935,0.0949517057739488,0.9050482942260513,9713.403648425847,7792.655951760049
11,100,200,0.49859518844806444,0.012008834662007813,0.4893959768899278,31479.301355657008,27855.167079196748,0.1405612735810405,0.8594387264189595,18196.39386236928,14827.505642158209,0.14029182662409342,0.8597081733759065,18279.117829461364,14831.14547894509,0.09495193529338497,0.905048064706615,19426.804992488393,15585.31589969295
12,200,400,0.49859518237524847,0.01200883604624271,0.48939598157850883,62958.603010614475,55710.33426280922,0.14056127069328048,0.8594387293067195,36392.791923936995,29655.015217659413,0.14029193845158514,0.8597080615484148,36558.2359435074,29662.293268775044,0.09495187661954074,0.9050481233804593,38853.61574640738,31170.635839119946
13,300,600,0.498595191798283,0.012008834211788139,0.48939597398992885,94437.90425115531,83565.50118298506,0.14056126010482647,0.8594387398951735,54589.18095561069,44482.520189348834,0.1402918844659082,0.8597081155340918,54837.349111651165,44493.43812959877,0.09495189617749099,0.905048103822509,58280.4149682158,46755.95075656379
14,400,800,0.4985952032224606,0.012008827520653093,0.4893959692568863,125917.20529023443,111420.66805863802,0.1405612447034376,0.8594387552965624,72785.5767866158,59310.0274299287,0.14029190064236302,0.859708099357637,73116.46551210692,59324.58384742308,0.09495186195107722,0.9050481380489228,77707.22289631682,62341.26775628468
15,5,15,0.0,1.6653345369377348e-16,0.9999999999999998,2057.377808219178,1555.9854381418447,0.14229030041231358,0.8577096995876865,1830.544196682124,1484.5007723712836,0.1419623896117378,0.8580376103882622,1841.8272752087814,1484.7410786226915,0.09615988305083303,0.903840116949167,1960.5347715576534,1965.0476074486123
16,10,30,0.0,6.106226635438361e-16,0.9999999999999993,4114.74904109589,3111.9698805589273,0.14229006970190075,0.8577099302980993,3661.0963784945757,2969.0088912665096,0.14196170422957546,0.8580382957704246,3683.6639541203085,2969.4900845695533,0.09616001671086973,0.9038399832891303,3921.0769872483665,3930.0956784253035
17,15,60,0.0020909215909076565,0.0,0.9979090784090926,6170.9885735081025,5301.47469674939,0.1440848685537986,0.8559151314462013,5517.582987043767,4459.635193169121,0.14320365708459373,0.8567963429154063,5561.06526729728,4461.498821802597,0.09811210579799158,0.9018878942020084,5919.803721184681,6944.2454210332335
