Config_ID,Power_MW,Energy_MWh,Year,DAM_Yearly_Profit,IDM_Yearly_Profit,DC_Yearly_Profit,Total_Yearly_Profit
5,10,15,2022,627391.42,597610.76,1501883.84,2726886.02
5,10,15,2023,277930.95,316270.53,415538.56,1009740.05
5,10,15,2024,237579.26,249477.62,292019.33,779076.21
8,10,20,2022,811767.37,769041.41,1501883.84,3082692.61
8,10,20,2023,361220.59,407384.57,415538.56,1184143.72
8,10,20,2024,309508.56,323663.16,292019.33,925191.04
15,5,15,2022,561782.57,530143.74,750941.92,1842868.23
15,5,15,2023,252169.02,281590.41,207769.28,741528.71
15,5,15,2024,217459.07,225401.0,146009.66,588869.74
17,15,60,2022,2054171.83,1944470.5,2252825.76,6251468.08
17,15,60,2023,928976.45,1036624.16,623307.84,2588908.45
17,15,60,2024,801791.43,831378.89,438028.99,2071199.31
