Date,IDM_Daily_Profit
2022-01-01,486.72
2022-01-02,442.63
2022-01-03,525.75
2022-01-04,321.08
2022-01-05,454.65
2022-01-06,253.66
2022-01-07,286.85
2022-01-08,245.01
2022-01-09,458.52
2022-01-10,325.79
2022-01-11,351.12
2022-01-12,291.91
2022-01-13,261.27
2022-01-14,1449.58
2022-01-15,554.02
2022-01-16,349.85
2022-01-17,1777.21
2022-01-18,605.31
2022-01-19,309.88
2022-01-20,340.14
2022-01-21,261.99
2022-01-22,215.19
2022-01-23,221.8
2022-01-24,1771.72
2022-01-25,871.1
2022-01-26,345.63
2022-01-27,309.91
2022-01-28,205.48
2022-01-29,428.53
2022-01-30,213.47
2022-01-31,426.25
2022-02-01,351.56
2022-02-02,246.48
2022-02-03,206.54
2022-02-04,181.08
2022-02-05,178.12
2022-02-06,490.9
2022-02-07,248.01
2022-02-08,220.99
2022-02-09,262.08
2022-02-10,187.2
2022-02-11,179.31
2022-02-12,190.41
2022-02-13,255.65
2022-02-14,224.48
2022-02-15,221.77
2022-02-16,249.23
2022-02-17,389.59
2022-02-18,272.63
2022-02-19,358.18
2022-02-20,456.89
2022-02-21,524.1
2022-02-22,300.39
2022-02-23,208.29
2022-02-24,213.47
2022-02-25,512.68
2022-02-26,346.16
2022-02-27,364.45
2022-02-28,356.99
2022-03-01,406.01
2022-03-02,296.46
2022-03-03,549.93
2022-03-04,666.59
2022-03-05,381.58
2022-03-06,716.91
2022-03-07,378.39
2022-03-08,789.08
2022-03-09,607.0
2022-03-10,476.95
2022-03-11,429.78
2022-03-12,396.61
2022-03-13,553.14
2022-03-14,467.38
2022-03-15,404.45
2022-03-16,372.03
2022-03-17,353.93
2022-03-18,259.74
2022-03-19,288.19
2022-03-20,358.02
2022-03-21,296.49
2022-03-22,285.07
2022-03-23,321.27
2022-03-24,328.29
2022-03-25,336.12
2022-03-26,247.48
2022-03-28,246.79
2022-03-29,223.27
2022-03-30,186.58
2022-03-31,243.11
2022-04-01,275.18
2022-04-02,263.02
2022-04-03,266.23
2022-04-04,314.12
2022-04-05,238.9
2022-04-06,233.63
2022-04-07,287.63
2022-04-08,231.78
2022-04-09,209.2
2022-04-10,197.53
2022-04-11,232.0
2022-04-12,210.13
2022-04-13,218.93
2022-04-14,205.23
2022-04-15,196.0
2022-04-16,296.77
2022-04-17,328.32
2022-04-18,299.83
2022-04-19,199.27
2022-04-20,199.37
2022-04-21,183.21
2022-04-22,179.21
2022-04-23,252.84
2022-04-24,164.8
2022-04-25,193.13
2022-04-26,258.4
2022-04-27,309.25
2022-04-28,320.39
2022-04-29,256.87
2022-04-30,178.78
2022-05-01,235.4
2022-05-02,289.91
2022-05-03,348.97
2022-05-04,286.32
2022-05-05,266.54
2022-05-06,260.55
2022-05-07,234.41
2022-05-08,285.11
2022-05-09,292.16
2022-05-10,201.55
2022-05-11,167.17
2022-05-12,130.17
2022-05-13,215.84
2022-05-14,328.16
2022-05-15,237.81
2022-05-16,274.68
2022-05-17,158.18
2022-05-18,144.3
2022-05-19,170.51
2022-05-20,147.54
2022-05-21,211.35
2022-05-22,211.32
2022-05-23,209.29
2022-05-24,194.84
2022-05-25,150.63
2022-05-26,165.14
2022-05-27,169.01
2022-05-28,186.51
2022-05-29,169.32
2022-05-30,217.99
2022-05-31,190.69
2022-06-01,194.03
2022-06-02,163.92
2022-06-03,174.31
2022-06-04,169.73
2022-06-05,135.44
2022-06-06,161.18
2022-06-07,185.14
2022-06-08,152.47
2022-06-09,162.12
2022-06-10,119.5
2022-06-11,292.5
2022-06-12,226.45
2022-06-13,208.01
2022-06-14,205.14
2022-06-15,219.9
2022-06-16,245.08
2022-06-17,240.27
2022-06-18,221.89
2022-06-19,212.85
2022-06-20,295.62
2022-06-21,396.21
2022-06-22,408.56
2022-06-23,488.53
2022-06-24,262.74
2022-06-25,207.36
2022-06-26,184.11
2022-06-27,241.55
2022-06-28,174.63
2022-06-29,447.16
2022-06-30,483.01
2022-07-01,301.02
2022-07-02,221.68
2022-07-03,322.48
2022-07-04,299.58
2022-07-05,442.48
2022-07-06,238.87
2022-07-07,325.88
2022-07-08,357.58
2022-07-09,331.91
2022-07-10,421.42
2022-07-11,365.82
2022-07-12,461.88
2022-07-13,486.47
2022-07-14,392.9
2022-07-15,389.1
2022-07-16,378.39
2022-07-17,414.74
2022-07-18,879.18
2022-07-19,774.66
2022-07-20,529.81
2022-07-21,799.78
2022-07-22,549.37
2022-07-23,246.67
2022-07-24,345.2
2022-07-25,392.03
2022-07-26,361.48
2022-07-27,403.73
2022-07-28,460.95
2022-07-29,388.56
2022-07-30,297.71
2022-07-31,382.54
2022-08-01,405.54
2022-08-02,309.47
2022-08-03,426.5
2022-08-04,429.72
2022-08-05,379.61
2022-08-06,401.79
2022-08-07,422.42
2022-08-08,472.37
2022-08-09,434.62
2022-08-10,441.54
2022-08-11,438.8
2022-08-12,447.78
2022-08-13,384.73
2022-08-14,397.33
2022-08-15,423.66
2022-08-16,520.1
2022-08-17,687.43
2022-08-18,724.43
2022-08-19,622.22
2022-08-20,382.98
2022-08-21,535.14
2022-08-22,740.56
2022-08-23,853.57
2022-08-24,1030.97
2022-08-25,710.64
2022-08-26,779.59
2022-08-27,473.05
2022-08-28,603.84
2022-08-29,719.07
2022-08-30,827.33
2022-08-31,695.17
2022-09-01,735.45
2022-09-02,667.65
2022-09-03,483.48
2022-09-04,402.92
2022-09-05,563.53
2022-09-06,622.69
2022-09-07,673.48
2022-09-08,753.67
2022-09-09,619.66
2022-09-10,501.66
2022-09-11,481.54
2022-09-12,549.59
2022-09-13,551.74
2022-09-14,539.88
2022-09-15,429.72
2022-09-16,386.29
2022-09-17,412.59
2022-09-18,437.83
2022-09-19,515.46
2022-09-20,720.63
2022-09-21,479.08
2022-09-22,529.03
2022-09-23,502.2
2022-09-24,359.58
2022-09-25,309.0
2022-09-26,551.3
2022-09-27,464.79
2022-09-28,429.41
2022-09-29,682.5
2022-09-30,308.04
2022-10-01,441.23
2022-10-02,609.43
2022-10-03,410.03
2022-10-04,375.74
2022-10-05,365.94
2022-10-06,336.59
2022-10-07,441.79
2022-10-08,450.96
2022-10-09,527.06
2022-10-10,436.55
2022-10-11,436.27
2022-10-12,364.82
2022-10-13,397.33
2022-10-14,324.17
2022-10-15,251.32
2022-10-16,408.35
2022-10-17,468.09
2022-10-18,400.76
2022-10-19,215.62
2022-10-20,272.53
2022-10-21,184.8
2022-10-22,209.88
2022-10-23,155.31
2022-10-24,198.9
2022-10-25,209.38
2022-10-26,166.55
2022-10-27,163.68
2022-10-28,129.48
2022-10-29,116.63
2022-10-31,180.12
2022-11-01,186.83
2022-11-02,175.44
2022-11-03,265.67
2022-11-04,251.04
2022-11-05,161.55
2022-11-06,210.72
2022-11-07,283.36
2022-11-08,253.84
2022-11-09,274.62
2022-11-10,258.18
2022-11-11,335.12
2022-11-12,221.64
2022-11-13,218.4
2022-11-14,341.02
2022-11-15,284.2
2022-11-16,252.78
2022-11-17,236.65
2022-11-18,284.2
2022-11-19,289.94
2022-11-20,401.73
2022-11-21,284.42
2022-11-22,522.76
2022-11-23,271.13
2022-11-24,247.51
2022-11-25,224.83
2022-11-26,139.34
2022-11-27,315.24
2022-11-28,1542.43
2022-11-29,2442.71
2022-11-30,1126.13
2022-12-01,703.06
2022-12-02,414.21
2022-12-03,278.68
2022-12-04,299.21
2022-12-05,403.76
2022-12-06,368.5
2022-12-07,446.75
2022-12-08,647.93
2022-12-09,716.6
2022-12-10,525.66
2022-12-11,609.52
2022-12-12,4827.83
2022-12-13,1806.95
2022-12-14,890.29
2022-12-15,697.69
2022-12-16,620.94
2022-12-17,350.41
2022-12-18,235.93
2022-12-19,413.65
2022-12-20,478.48
2022-12-21,309.97
2022-12-22,400.58
2022-12-23,176.56
2022-12-24,314.53
2022-12-25,351.34
2022-12-26,400.02
2022-12-27,320.92
2022-12-28,346.69
2022-12-29,426.25
2022-12-30,392.15
2022-12-31,487.94
